Customer ID,Customer Name,Segment
LS-001,Lane Daniels,Consumer
IZ-002,Alvarado Kriz,Home Office
EN-003,Moon Weien,Consumer
AN-004,Sanchez Bergman,Corporate
ON-005,Rowe Jackson,Corporate
TO-006,Carter Barreto,Corporate
OM-007,Mcconnell Tom,Consumer
AN-008,Dennis Holloman,Corporate
EN-009,Wall Olsen,Consumer
TT-0010,Shepard Witt,Consumer
ED-0011,Johns Reed,Corporate
ON-0012,Doyle Knutson,Home Office
WN-0013,Butler Brown,Corporate
AN-0014,Johnson Abelman,Corporate
EY-0015,Greene Decherney,Consumer
RN-0016,Bentley Zypern,Consumer
CK-0017,Rivera Black,Consumer
RE-0018,Wong Macintyre,Consumer
ON-0019,Hendricks Wilson,Consumer
ED-0020,Johns Reed,Corporate
AM-0021,Barr Sundaresam,Consumer
KE-0022,Holt Glocke,Corporate
LL-0023,Gaines O'Carroll,Consumer
CO-0024,Copeland Lomonaco,Corporate
NA-0025,Vasquez Dona,Consumer
LL-0026,Freeman Castell,Corporate
LE-0027,Reid Engle,Home Office
NG-0028,Harris Armstrong,Corporate
ED-0029,Everett Sweed,Consumer
AS-0030,Poole Lucas,Corporate
WN-0031,Gonzales Brown,Consumer
AN-0032,Perry Brennan,Consumer
KI-0033,Garner Hirasaki,Consumer
EE-0034,Norton Magee,Corporate
ON-0035,Bean Thompson,Corporate
SH-0036,Bond Overcash,Consumer
KE-0037,Holt Glocke,Corporate
YD-0038,Moran Lloyd,Consumer
MS-0039,Jones Adams,Home Office
RE-0040,Wong Macintyre,Consumer
ER-0041,Strong Schoenberger,Corporate
IN-0042,Terrell Zeldin,Consumer
EN-0043,Reyes Christensen,Consumer
DI-0044,Dean Etezadi,Consumer
TT-0045,Hess Prescott,Home Office
ER-0046,Russo Webber,Consumer
CH-0047,Kerr Toch,Corporate
CK-0048,Anthony Myrick,Consumer
TT-0049,Fuller Eplett,Corporate
RS-0050,Hernandez Badders,Home Office
AN-0051,Smith Abelman,Consumer
LE-0052,Mcdowell Roelle,Consumer
IS-0053,Humphrey Preis,Home Office
LY-0054,Winters Shonely,Consumer
NT-0055,Heath O'Briant,Home Office
IE-0056,Clayton Marie,Consumer
SS-0057,Steele Gross,Consumer
ON-0058,Trujillo Sheldon,Consumer
EN-0059,Kelly Braden,Corporate
ON-0060,Yates Johnson,Consumer
KS-0061,Flores Brooks,Home Office
ON-0062,Sellers Stevenson,Consumer
EY-0063,Carpenter Decherney,Corporate
ED-0064,Johns Reed,Corporate
RE-0065,Knox Sayre,Consumer
LL-0066,Leblanc Spruell,Consumer
SS-0067,Berg Weiss,Home Office
EN-0068,Kelly Braden,Corporate
LO-0069,Sanford Zydlo,Corporate
ER-0070,Russo Webber,Consumer
NT-0071,Ferguson Conant,Corporate
ON-0072,Santiago Grayson,Corporate
RT-0073,Foley Stewart,Consumer
EP-0074,Dorsey Prichep,Home Office
AN-0075,Miranda Ryan,Home Office
CH-0076,Parsons Leinenbach,Corporate
NN-0077,Bruce Nunn,Home Office
ON-0078,Sherman Knutson,Corporate
LL-0079,Gibson Carroll,Consumer
NS-0080,Perkins Cousins,Consumer
NA-0081,Vasquez Dona,Consumer
SH-0082,Mann Hirsh,Corporate
ER-0083,Golden Ritter,Consumer
ON-0084,Walton Jackson,Consumer
NI-0085,Blanchard Vittorini,Consumer
LE-0086,Tucker Caudle,Consumer
EN-0087,Hodge Moren,Consumer
EN-0088,Duncan Dahlen,Home Office
ER-0089,Estrada Kiefer,Consumer
EN-0090,Miller Allen,Consumer
IS-0091,Riley Davis,Corporate
LL-0092,Mcclain O'Donnell,Corporate
EN-0093,Gardner Craven,Consumer
DE-0094,Fletcher Gnade,Corporate
ER-0095,Elliott Deggeller,Consumer
ON-0096,Stokes Knudson,Consumer
ON-0097,Hatfield Trafton,Consumer
ND-0098,Henry Chand,Consumer
ND-0099,York Redmond,Home Office
CK-00100,Rivera Black,Consumer
RN-00101,Cook Bern,Consumer
LL-00102,Marshall Carroll,Consumer
SE-00103,Blankenship Reese,Consumer
LO-00104,Sanford Zydlo,Corporate
EN-00105,Sexton Sorensen,Consumer
ER-00106,Coleman Bremer,Consumer
TZ-00107,Maxwell Katz,Consumer
IN-00108,Love Grinstein,Consumer
AS-00109,Porter Cazamias,Consumer
NE-00110,Cobb Kane,Consumer
ER-00111,Russo Webber,Consumer
LL-00112,Hancock O'Brill,Consumer
SH-00113,Bond Overcash,Consumer
PO-00114,Graham Cacioppo,Home Office
ZO-00115,Fox D'Ascenzo,Home Office
CK-00116,Barnett Garverick,Home Office
EN-00117,Gardner Craven,Consumer
RI-00118,Ayala Molinari,Consumer
IS-00119,Parrish Preis,Home Office
LL-00120,Dominguez Norvell,Consumer
OS-00121,Browning Staavos,Corporate
LL-00122,Gibson Carroll,Consumer
IS-00123,Saunders Kotsonis,Consumer
ST-00124,Bullock Prost,Consumer
RK-00125,Holmes Clark,Corporate
ER-00126,Murphy Bierner,Consumer
RR-00127,Peters Derr,Corporate
WE-00128,Gillespie Zewe,Consumer
AM-00129,Watkins Cunningham,Corporate
ON-00130,James Bolton,Consumer
EN-00131,Hebert Wooten,Home Office
DT-00132,Rojas Schmidt,Home Office
ON-00133,Bean Thompson,Corporate
EN-00134,Schneider Hansen,Corporate
TT-00135,Martinez Arnett,Corporate
UE-00136,Snow Pardue,Consumer
LS-00137,Bradley Daniels,Corporate
KY-00138,Cantu Zandusky,Corporate
TZ-00139,Maxwell Katz,Consumer
ER-00140,Mills Collister,Consumer
CH-00141,Johnston Ducich,Consumer
LE-00142,Owens Carlisle,Consumer
EY-00143,Robertson Coakley,Consumer
NI-00144,Arnold Crestani,Consumer
CK-00145,Nicholson Murdock,Consumer
NG-00146,Shaw Chung,Consumer
OE-00147,Francis Jarboe,Consumer
RE-00148,Jefferson Macintyre,Consumer
LE-00149,Jordan Carlisle,Corporate
PO-00150,Gallagher Ocampo,Corporate
ER-00151,Marks Schneider,Home Office
LS-00152,Andrews Daniels,Corporate
ER-00153,Coleman Bremer,Consumer
DT-00154,Serrano Schmidt,Consumer
TT-00155,Hess Prescott,Home Office
ON-00156,Nash Melton,Home Office
AK-00157,Wyatt Pak,Home Office
LE-00158,Brady Lonsdale,Consumer
AN-00159,Blevins Thurman,Consumer
DE-00160,Allison Meade,Corporate
ER-00161,Montoya Ritter,Corporate
DY-00162,Lindsey Kennedy,Corporate
RI-00163,Clay Molinari,Home Office
KE-00164,Holt Glocke,Corporate
TH-00165,Ayers Smith,Home Office
NS-00166,Vega Hopkins,Corporate
KY-00167,Cantu Zandusky,Corporate
AN-00168,Haley Wasserman,Consumer
IS-00169,Lester Preis,Home Office
AN-00170,Mason Chapman,Consumer
AN-00171,Savage Phan,Consumer
HY-00172,Mathis Mccarthy,Consumer
SS-00173,Austin Demoss,Home Office
EN-00174,Hale Goldenen,Consumer
EN-00175,Duncan Dahlen,Home Office
NS-00176,Vega Hopkins,Corporate
EN-00177,Sexton Sorensen,Consumer
RY-00178,Houston Leatherbury,Consumer
LL-00179,Giles Turnell,Consumer
LL-00180,Boone Maxwell,Corporate
ET-00181,King Bailliet,Consumer
EN-00182,Kelly Braden,Corporate
CH-00183,Bates Gockenbach,Consumer
ON-00184,House Stevenson,Home Office
ER-00185,Day Ferrer,Home Office
ES-00186,Hodges Jones,Consumer
ON-00187,Hatfield Trafton,Consumer
IN-00188,Barker Haberlin,Corporate
LS-00189,Lane Daniels,Consumer
KE-00190,Holt Glocke,Corporate
ON-00191,Spears Thornton,Corporate
EN-00192,Gardner Craven,Consumer
LY-00193,Juarez Shonely,Consumer
NT-00194,Heath O'Briant,Home Office
ER-00195,Day Ferrer,Home Office
IN-00196,Ball Hagelstein,Corporate
RE-00197,Schwartz Laware,Consumer
ZA-00198,Graves Garza,Home Office
AN-00199,Cherry Workman,Home Office
EY-00200,Sanders Bradley,Home Office
RE-00201,Tanner Sayre,Consumer
CE-00202,Hunter Chance,Consumer
ES-00203,Rios Jones,Consumer
ET-00204,King Bailliet,Consumer
RF-00205,Mejia Waldorf,Corporate
ER-00206,Estrada Kiefer,Consumer
LL-00207,Mcclain O'Donnell,Corporate
LE-00208,Owens Carlisle,Consumer
DS-00209,Dixon Childs,Corporate
EN-00210,Mullins Hansen,Consumer
ON-00211,Alvarez Eaton,Corporate
EE-00212,Norton Magee,Corporate
ER-00213,Cameron Packer,Consumer
IN-00214,Barker Haberlin,Corporate
LY-00215,Winters Shonely,Consumer
AN-00216,Miranda Ryan,Home Office
DT-00217,Serrano Schmidt,Consumer
RR-00218,Underwood Mcgarr,Home Office
ON-00219,Avery Wilson,Consumer
DO-00220,Brown Airdo,Corporate
ON-00221,Yates Johnson,Consumer
LD-00222,Obrien Geld,Corporate
AN-00223,Gay Willman,Consumer
IE-00224,Olson Currie,Home Office
LD-00225,White Armold,Consumer
PO-00226,Gallagher Ocampo,Corporate
LL-00227,Marshall Carroll,Consumer
AN-00228,Blevins Thurman,Consumer
NY-00229,Knight Company,Home Office
TT-00230,Martinez Arnett,Corporate
ON-00231,Jensen Foulston,Home Office
AU-00232,Shelton Gastineau,Consumer
IR-00233,Phelps Mcnair,Corporate
SE-00234,Willis Crouse,Home Office
ER-00235,Nunez Lanier,Corporate
EY-00236,Ruiz Darley,Corporate
ED-00237,Johns Reed,Corporate
LE-00238,Brady Lonsdale,Consumer
ON-00239,Frost Tron,Consumer
RD-00240,Wright Baird,Consumer
TT-00241,Gallegos Rosenblatt,Consumer
OK-00242,Lewis Ashbrook,Corporate
AM-00243,Watkins Cunningham,Corporate
CH-00244,Russell Buch,Home Office
EL-00245,Velasquez Staebel,Consumer
ON-00246,Huffman Nockton,Consumer
NS-00247,Armstrong Dawkins,Home Office
EN-00248,Leonard Hallsten,Corporate
IS-00249,Lester Preis,Home Office
IS-00250,Gilmore Norris,Home Office
IS-00251,Gilmore Norris,Home Office
CK-00252,Barnett Garverick,Home Office
EY-00253,Baldwin Hawley,Consumer
EZ-00254,Schmidt Dominguez,Consumer
RE-00255,Wong Macintyre,Consumer
AN-00256,Pennington Van,Corporate
LS-00257,Lane Daniels,Consumer
RI-00258,Clay Molinari,Home Office
EN-00259,Warren Chen,Home Office
EY-00260,Wallace Caffey,Corporate
TY-00261,Osborne Kelty,Corporate
OW-00262,Price Brandow,Consumer
AN-00263,Johnson Abelman,Corporate
RE-00264,Park Macintyre,Consumer
AY-00265,Wolf Murray,Corporate
EY-00266,Munoz Hackney,Home Office
CH-00267,Moses Rittenbach,Consumer
EN-00268,Snyder Dahlen,Consumer
AT-00269,Gilbert Farhat,Corporate
ON-00270,Hatfield Trafton,Consumer
AN-00271,Mason Chapman,Consumer
EZ-00272,Carr Dominguez,Corporate
ON-00273,Fields Dodson,Consumer
SH-00274,Bond Overcash,Consumer
LT-00275,Dyer Overfelt,Consumer
EN-00276,Schneider Hansen,Corporate
NG-00277,Garcia Armstrong,Consumer
ON-00278,Ross Braxton,Consumer
KS-00279,Mosley Parks,Consumer
KA-00280,Deleon Pisteka,Corporate
RD-00281,Beard Radford,Consumer
EN-00282,Hunt Cohen,Consumer
WN-00283,Butler Brown,Corporate
EN-00284,Hale Goldenen,Consumer
TT-00285,Nelson Barnett,Consumer
ER-00286,Cameron Packer,Consumer
DY-00287,Bush Grady,Corporate
RN-00288,Hansen Eichhorn,Consumer
NT-00289,Ferguson Conant,Corporate
ON-00290,Nash Melton,Home Office
IG-00291,Owen Ludwig,Corporate
ER-00292,Holland Foster,Corporate
AM-00293,Barr Sundaresam,Consumer
CO-00294,Copeland Lomonaco,Corporate
IN-00295,Davis Akin,Consumer
ON-00296,Barnes Braxton,Corporate
CK-00297,Rivera Black,Consumer
NT-00298,Heath O'Briant,Home Office
ST-00299,Chan West,Home Office
AN-00300,Atkinson Ryan,Corporate
NI-00301,Blanchard Vittorini,Consumer
ER-00302,Gray Boeckenhauer,Consumer
ER-00303,Buck Webber,Consumer
RT-00304,Durham Stugart,Corporate
LE-00305,Reynolds Carlisle,Consumer
EY-00306,Stone Cooley,Consumer
LE-00307,Fisher Carlisle,Corporate
ON-00308,Howell Eason,Consumer
CH-00309,Johnston Ducich,Consumer
LL-00310,Boone Maxwell,Corporate
CK-00311,Nicholson Murdock,Consumer
ON-00312,Livingston Thornton,Consumer
NG-00313,Brewer Flashing,Corporate
ED-00314,Johns Reed,Corporate
EN-00315,Wolfe Hansen,Consumer
MS-00316,Jones Adams,Home Office
ER-00317,Golden Ritter,Consumer
TO-00318,Carter Barreto,Corporate
NG-00319,Cannon Hwang,Corporate
ND-00320,Gross Kirkland,Corporate
ON-00321,Christensen Lebron,Consumer
CH-00322,May Französisch,Consumer
IG-00323,Bass Ludwig,Consumer
RY-00324,Wilkins Mccrary,Consumer
NS-00325,Hayes Burns,Consumer
RN-00326,Bentley Zypern,Consumer
KE-00327,Frank Ludtke,Home Office
ER-00328,Meadows Wiener,Consumer
MS-00329,Faulkner Williams,Consumer
RG-00330,Marsh Luxemburg,Corporate
IE-00331,Olson Currie,Home Office
DD-00332,Griffin Budd,Corporate
LE-00333,Brady Lonsdale,Consumer
MS-00334,Oneill Williams,Consumer
LL-00335,Rose Connell,Consumer
WN-00336,Simmons Brown,Corporate
EZ-00337,Schmidt Dominguez,Consumer
ER-00338,Strong Schoenberger,Corporate
MS-00339,Benson Harms,Corporate
LE-00340,Chandler Hale,Corporate
ON-00341,Jensen Foulston,Home Office
MS-00342,Oneill Williams,Consumer
RE-00343,Tanner Sayre,Consumer
EL-00344,Sandoval Kimmel,Consumer
LE-00345,Mcdowell Roelle,Consumer
BS-00346,Patton Jacobs,Consumer
LL-00347,Rose Connell,Consumer
WN-00348,Foster Brown,Corporate
SH-00349,Bond Overcash,Consumer
LY-00350,Juarez Shonely,Consumer
EL-00351,Sandoval Kimmel,Consumer
DO-00352,Brown Airdo,Corporate
LL-00353,Espinoza Mull,Consumer
IG-00354,Bass Ludwig,Consumer
ER-00355,Strong Schoenberger,Corporate
RG-00356,Sloan Shillingsburg,Corporate
DO-00357,Brown Airdo,Corporate
TH-00358,Lara Smith,Consumer
ON-00359,Franklin Dickinson,Consumer
EY-00360,Stewart Bensley,Home Office
ON-00361,Fields Dodson,Consumer
RE-00362,Knox Sayre,Consumer
AB-00363,Mcintyre Yedwab,Home Office
TE-00364,Reese Huthwaite,Consumer
AM-00365,Watkins Cunningham,Corporate
AN-00366,Mack Hoffman,Consumer
ES-00367,Blackwell Rawles,Home Office
KY-00368,Holman Zandusky,Corporate
NI-00369,Blanchard Vittorini,Consumer
LL-00370,Espinoza Mull,Consumer
GS-00371,Herman Triggs,Consumer
LD-00372,Bryant Brumfield,Consumer
AN-00373,Horn Phan,Corporate
NG-00374,Martin Armstrong,Consumer
ON-00375,Burton Ellison,Consumer
LE-00376,Booth Pistole,Consumer
EN-00377,Schneider Hansen,Corporate
TT-00378,Gallegos Rosenblatt,Consumer
ER-00379,Estrada Kiefer,Consumer
CH-00380,Johnston Ducich,Consumer
LL-00381,Freeman Castell,Corporate
CH-00382,Oliver Dortch,Corporate
ER-00383,Turner Becker,Consumer
OX-00384,Hudson Cox,Home Office
ON-00385,Doyle Knutson,Home Office
RN-00386,Reed Bern,Corporate
EN-00387,Wall Olsen,Consumer
LL-00388,Mcclain O'Donnell,Corporate
CY-00389,Simon Lacy,Corporate
CK-00390,Morton Mackendrick,Corporate
MI-00391,Hurst Shami,Consumer
CH-00392,Kerr Toch,Corporate
RI-00393,Weiss Shariari,Consumer
LL-00394,Booker Russell,Consumer
EE-00395,Clarke Mcafee,Consumer
AN-00396,Fowler Flanagan,Corporate
EN-00397,Carroll Dahlen,Consumer
LL-00398,Wells Castell,Consumer
LL-00399,Short O'Connell,Corporate
TZ-00400,Padilla Kunitz,Home Office
ON-00401,Morgan Bertelson,Consumer
ER-00402,Drake Macallister,Consumer
CK-00403,Morton Mackendrick,Corporate
CH-00404,Hardin Roach,Consumer
IN-00405,Miles Gilpin,Consumer
IN-00406,Zimmerman Lichtenstein,Corporate
TT-00407,Nelson Barnett,Consumer
NG-00408,Strickland Hwang,Corporate
ON-00409,James Bolton,Consumer
WN-00410,Butler Brown,Corporate
CH-00411,May Französisch,Consumer
PS-00412,Olsen Phelps,Corporate
AN-00413,Johnson Abelman,Corporate
EZ-00414,Stevenson Hernandez,Home Office
NO-00415,Garrison Perrino,Consumer
ON-00416,Kline Williamson,Home Office
AN-00417,Morales Chapman,Home Office
LS-00418,Burnett Mills,Consumer
ER-00419,Marquez Miller,Home Office
IN-00420,Cain Mccrossin,Home Office
AB-00421,Whitney Yedwab,Corporate
TT-00422,Larsen Patt,Consumer
RY-00423,Randall Murry,Corporate
NO-00424,Kim Eno,Corporate
ER-00425,Woodard Pippenger,Home Office
LL-00426,Webb Castell,Corporate
ND-00427,Eaton Pond,Home Office
NN-00428,Moss Hoffmann,Consumer
NG-00429,Burns Chung,Consumer
KE-00430,Holt Glocke,Corporate
LE-00431,Booth Pistole,Consumer
UM-00432,Hood Mitchum,Home Office
EY-00433,Wallace Caffey,Corporate
NG-00434,Garcia Armstrong,Consumer
ON-00435,Livingston Thornton,Consumer
ON-00436,Camacho Thompson,Home Office
PO-00437,Gallagher Ocampo,Corporate
SS-00438,Mays Weiss,Consumer
ON-00439,Daniel Harton,Corporate
ER-00440,Diaz Bühler,Home Office
RS-00441,Mercado Stivers,Consumer
OK-00442,Lewis Ashbrook,Corporate
TE-00443,Sheppard Tate,Corporate
ER-00444,Walters Fritzler,Corporate
OK-00445,Walker Ashbrook,Consumer
LD-00446,Myers Butterfield,Consumer
PO-00447,Graham Cacioppo,Home Office
LY-00448,Winters Shonely,Consumer
ER-00449,Carey Roper,Consumer
AN-00450,Dennis Holloman,Corporate
GE-00451,Christian Paige,Corporate
